,Pre-COVID (2010-2020),Pre-COVID (2010-2020),Pre-COVID (2010-2020),Pre-COVID (2010-2020),Post-COVID (2020-2026),Post-COVID (2020-2026),Post-COVID (2020-2026),Post-COVID (2020-2026)
,Ann. Vol (%),Skewness,Kurt. (excess),Min return (%),Ann. Vol (%),Skewness,Kurt. (excess),Min return (%)
S&P500,16.29,-1.358,19.204,-12.77,17.86,0.32,8.199,-6.16
Eurostoxx 50,20.12,-0.747,9.275,-13.24,18.38,0.176,5.479,-5.09
Hang Seng,17.72,-0.336,2.724,-6.02,23.82,-0.373,7.872,-14.18
MSCI EM,15.68,-0.695,4.744,-6.94,16.68,-0.263,5.066,-8.25
SMI,15.17,-1.112,10.911,-10.13,13.97,-0.31,6.212,-5.52
Oil futures,35.51,-1.169,23.672,-28.22,52.89,-3.141,78.893,-60.17
Gold,15.1,-0.648,6.43,-9.51,17.2,-0.667,6.606,-9.37
EURUSD,8.73,-0.026,1.891,-2.41,7.33,0.219,1.547,-1.86
USDJPY,9.06,-0.018,5.118,-3.78,9.13,-0.565,4.02,-3.86
US IG Bonds,4.49,-1.904,18.531,-3.83,5.88,0.083,1.933,-1.8
US HY Bonds,4.32,-4.323,49.492,-3.68,5.31,0.882,16.096,-2.39
USDCHF,11.1,-7.104,229.31,-19.38,7.76,-0.689,4.448,-3.91
