Asset,Period,omega (x1e4),alpha,beta,alpha+beta,half-life (days),Uncond. Ann. Vol (%),AIC,BIC
S&P500,Pre-COVID,0.0347,0.1714,0.7951,0.9665,20.4,16.17,-23405.1,-23387.4
S&P500,Post-COVID,0.0438,0.1309,0.8333,0.9641,19.0,17.55,-13302.0,-13285.8
Eurostoxx 50,Pre-COVID,0.032,0.107,0.877,0.984,42.8,22.42,-21668.4,-21650.7
Eurostoxx 50,Post-COVID,0.0831,0.1714,0.7721,0.9435,11.9,19.26,-13076.5,-13060.4
Hang Seng,Pre-COVID,0.0196,0.047,0.9374,0.9845,44.3,17.84,-21903.8,-21886.1
Hang Seng,Post-COVID,0.064,0.0613,0.9114,0.9727,25.0,24.31,-12051.3,-12035.2
MSCI EM,Pre-COVID,0.0191,0.0886,0.8934,0.9821,38.3,16.38,-22819.2,-22801.5
MSCI EM,Post-COVID,0.1047,0.1668,0.7423,0.9091,7.3,17.04,-13262.9,-13246.8
SMI,Pre-COVID,0.0456,0.1447,0.8066,0.9513,13.9,15.36,-23155.6,-23137.9
SMI,Post-COVID,0.0642,0.1514,0.7603,0.9118,7.5,13.53,-13930.5,-13914.3
